index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,residue
93,-0.01436639,-0.58837417,0.11825411,0.55449347,1.24573107,-0.32192399,103.52115162
94,-0.37289189,-0.22270319,0.18616609,0.41256595,1.21111934,-0.34404123,103.52120731
95,0.69920433,0.09793610,0.28625184,0.26866746,1.17394023,-0.36623744,103.52126344
96,-0.16987783,0.26704694,0.39518596,0.12391245,1.13424889,-0.38850823,103.52132000
97,-0.20614221,0.35730853,0.48836511,-0.02059466,1.09210047,-0.41084921,103.52137700
98,-0.23881750,0.45231534,0.54402100,-0.16380363,1.04755013,-0.43325597,103.52143444
99,0.86476585,0.50612965,0.54720357,-0.30471406,1.00065303,-0.45572413,103.52149231
100,-0.54090693,0.48145136,0.49196657,-0.44231138,0.95146432,-0.47824930,103.52155063
101,-0.19508295,0.47648613,0.38000433,-0.57560646,0.90003915,-0.50082707,103.52160939
102,-0.00422139,0.53055238,0.21869653,-0.70359306,0.84643269,-0.52345307,103.52166859
103,0.40370680,0.52136488,0.02235823,-0.82525693,0.79070008,-0.54612288,103.52172823
104,0.02343667,0.29577164,-0.19018852,-0.93957920,0.73289649,-0.56883212,103.52178831
105,0.15907409,-0.15143590,-0.39923308,-1.04553983,0.67307706,-0.59157640,103.52184883
106,-0.62046379,-0.64925657,-0.58502369,-1.14211880,0.61129696,-0.61435132,103.52190980
107,0.23751598,-1.00074040,-0.72887712,-1.22830384,0.54761134,-0.63715249,103.52197122
108,0.15632975,-1.12126851,-0.81502968,-1.30312459,0.48207535,-0.65997551,103.52203307
109,-0.57408869,-0.99663128,-0.83504469,-1.36566131,0.41474416,-0.68281599,103.52209538
110,0.04482827,-0.69741723,-0.79059383,-1.41504531,0.34567291,-0.70566954,103.52215813
111,0.85720396,-0.37393709,-0.69213666,-1.45061526,0.27491676,-0.72853176,103.52222132
112,-0.93364205,-0.09477958,-0.55646087,-1.47191215,0.20253087,-0.75139827,103.52228497
113,0.13894689,0.18545830,-0.40267068,-1.47862575,0.12857039,-0.77426466,103.52234906
114,0.25425720,0.43310967,-0.25059676,-1.47060075,0.05309056,-0.79712654,103.52241360
115,-0.01685416,0.55402256,-0.11973210,-1.44776727,-0.02385351,-0.81997952,103.52247859
116,0.06912838,0.51577621,-0.02746437,-1.41014496,-0.10220851,-0.84281921,103.52254403
117,0.00002918,0.38965153,0.01501444,-1.35792472,-0.18192090,-0.86564120,103.52260992
118,-0.06996613,0.30868625,0.00574010,-1.29151933,-0.26293362,-0.88844112,103.52267626
119,-0.61861446,0.34248915,-0.04975562,-1.21156370,-0.34518562,-0.91121456,103.52274305
120,0.73188942,0.37577346,-0.13923383,-1.11887706,-0.42861424,-0.93395713,103.52281030
121,0.25592361,0.20922847,-0.24586307,-1.01443289,-0.51315061,-0.95666444,103.52287800
122,-0.48903495,-0.14256245,-0.34941082,-0.89933205,-0.59871742,-0.97933209,103.52294615
123,0.08265172,-0.50287280,-0.42959712,-0.77478488,-0.68523082,-1.00195569,103.52301475
124,-0.17747745,-0.72457741,-0.46863210,-0.64212599,-0.77259885,-1.02453085,103.52308382
125,0.25390109,-0.76439802,-0.45403004,-0.50281575,-0.86072243,-1.04705317,103.52315333
126,-0.20023302,-0.65133609,-0.38358534,-0.35835663,-0.94949718,-1.06951826,103.52322331
127,0.19063677,-0.42483287,-0.26529646,-0.21027376,-1.03881574,-1.09192173,103.52329373
128,0.07956263,-0.14224128,-0.11383478,-0.06007614,-1.12856939,-1.11425917,103.52336462
129,-0.42345495,0.14300854,0.05361972,0.09072067,-1.21865006,-1.13652621,103.52343597
130,0.58958714,0.36990296,0.21740286,0.24057678,-1.30894926,-1.15871844,103.52350777
131,-0.30652018,0.46867923,0.35794530,0.38793335,-1.39935866,-1.18083147,103.52358004
132,0.20536928,0.47299658,0.45912435,0.53122991,-1.48976903,-1.20286090,103.52365276
133,0.27216840,0.48502238,0.51024457,0.66892216,-1.58007103,-1.22480236,103.52372594
134,-0.99780362,0.55553300,0.50712464,0.79946945,-1.67015923,-1.24665143,103.52379959
135,1.13595796,0.56528251,0.45371728,0.92143498,-1.75993222,-1.26840372,103.52387370
136,-0.41259000,0.31399266,0.36327988,1.03353292,-1.84929486,-1.29005485,103.52394827
137,0.27878357,-0.10669255,0.25559742,1.13460813,-1.93816023,-1.31160042,103.52402330
138,-0.73922170,-0.40472095,0.15333727,1.22362823,-2.02644978,-1.33303604,103.52409879
139,0.32107301,-0.47673031,0.07696865,1.29964580,-2.11409129,-1.35435731,103.52417476
140,0.24499046,-0.47697237,0.04280205,1.36183083,-2.20101879,-1.37555983,103.52425118
141,0.17741417,-0.53773909,0.06091956,1.40953133,-2.28717130,-1.39663922,103.52432807
142,-0.20554624,-0.58475073,0.13053137,1.44227966,-2.37248940,-1.41759108,103.52440543
143,-0.14748925,-0.43387109,0.23943082,1.45982871,-2.45691206,-1.43841102,103.52448326
144,-0.28821280,-0.03428753,0.36939043,1.46210337,-2.54037780,-1.45909464,103.52456155
